y,x
6.080227852,7.263448238
-0.924185991,6.339896202
-3.286174059,-9.285217285
5.211977005,0.793290973
-16.16420937,-2.902420998
-1.054703951,8.613150597
11.17238045,3.982063055
-11.06328011,-1.150171041
-16.77700043,3.486125946
-7.021833897,4.329850197
-9.716846466,0.936874986
5.215705872,-5.202455997
-6.612000942,-2.082756996
4.264498234,2.728523016
4.916710854,0.653397024
22.20495987,6.436071873
-11.29868984,-4.259198189
-5.770507813,0.543910027
-5.217764854,-0.486846
16.19619942,2.844000101
-17.16995049,-16.45721054
1.105334997,4.468937874
11.68533993,5.885519981
-2.301451921,-0.390697986
8.643728256,2.499567986
-11.12907982,-4.033607006
1.724627972,3.042526007
0.157879993,0.73456502
-1.875203013,2.779731989
-10.62481976,-5.900115967
-5.761136055,3.005343914
5.481431961,3.954991102
-17.02206993,2.547127008
7.625421047,4.329008102
-6.575722218,0.191940993
-2.372829914,-0.92167598
17.52375031,3.394682884
1.354655981,0.75871402
16.26861,1.862074018
-6.074546814,6.79775095
-0.826650977,-1.699254036
3.807882071,4.092591763
0.575700998,-2.926299095
3.755563021,1.773424029
-5.365927219,-2.800816059
-3.75030303,-1.505395055
4.898752213,4.186963081
4.379255772,1.201416969
16.56015968,6.769320965
1.52312696,-1.68602705
1.020607948,5.245806217
-3.899307966,1.728710055
-14.32501984,-7.279076099
3.056627035,-0.77947098
-0.021536,-2.439635038
3.355102062,8.445978165
0.100006998,1.221079946
1.691249967,2.733386993
8.200753212,5.127532959
3.527865887,3.191555023
4.554587841,3.90783906
5.365478992,-1.708567977
4.525230885,0.43521899
2.944653988,0.958068013
-0.268599987,1.095476985
-3.661041021,-6.81610918
-4.540504932,2.785053968
9.195292473,3.90020895
-1.894816995,-4.203003883
12.00660992,5.601798058
1.233986974,1.570093989
-1.446329951,-1.084426999
6.023619175,0.778670013
10.51235962,6.47065115
13.40071011,8.953781128
-7.796263218,-2.38776207
0.211539999,-2.873838902
6.471110821,3.440268993
-9.037475586,-5.8910532
-5.478381157,6.375582218
-6.756882191,-5.734838963
-2.564960003,3.630883932
2.456598997,-1.31606698
1.476420999,3.521600962
17.06940079,8.673413277
7.565727234,6.914361954
-3.239326,-0.460660994
3.662578106,4.295976162
7.157454967,7.719693184
4.774900913,3.039887905
4.237701893,2.510224104
-0.881352007,-3.039443016
11.49687958,3.78709197
-35.56618118,-27.86968994
-14.59136963,-9.956366539
14.87271976,7.975865841
1.748599052,3.936938047
-0.60601598,-0.327971011
-6.078094959,-2.161544085
3.976154089,2.72178793
-1.050909996,-0.514824986
3.317857027,3.128797054
0.407099992,0.181501999
-11.87932014,-7.892364025
-8.801026344,3.3470819
6.784211159,3.158591986
-10.20578003,-4.816470146
-6.738053799,-0.00855
12.8390398,13.46098042
3.302860975,-0.764474988
-0.155918002,2.298491001
3.623090982,0.762075007
-1.167680979,-0.495795995
-1.221603036,1.206635952
5.262903214,4.637025833
4.845013142,2.680874109
-5.069564819,-5.303857803
-13.57964039,-7.210656166
1.100607991,5.350185871
4.92508316,4.106245995
-2.532068968,-3.629547119
-6.601872921,-5.205803871
-1.023769021,-2.183244944
-7.09791708,-5.408564091
6.376626968,10.57598972
1.861974955,-0.33861199
-5.591526985,-2.213161945
-15.31758976,-8.476177216
-10.17226982,-7.459414005
-2.217396021,-0.085887998
5.974205971,5.034770012
-0.857289016,-1.767714977
-3.780184984,0.189107999
20.64720917,10.38741016
10.94067955,2.921914101
-3.145639896,0.97171998
-3.142888069,-0.431782007
-1.960865974,-3.342925072
7.330964088,5.242812157
7.854388237,2.88065505
2.539177895,-1.121472001
-1.233245015,-3.969578028
-11.74604034,-5.707994938
1.07822597,1.502567053
5.937904835,2.599565029
4.113183975,0.135881007
-0.655198991,-6.146138191
15.28429985,10.4573698
3.994518042,1.415987015
-11.94451046,-8.261109352
-2.530700922,-3.778811932
-9.842366219,-5.386817932
18.11573982,11.19435978
0.200949997,3.999870062
1.125852942,3.620675087
7.639181137,2.887222052
2.919569016,1.336745977
-1.062404037,1.240273952
1.292641044,0.40714401
0.420240998,-1.734930038
-2.514081001,1.111533999
0.419362009,1.354128003
4.374023914,1.943061948
1.733528018,4.961979866
-3.659809113,-1.618729949
5.856907845,4.215408802
-1.365550041,1.880360007
-1.346979022,5.826353073
12.8957901,2.973541021
-5.346701145,-5.479857922
-7.61472702,-5.784546852
10.22043037,1.157083035
-6.928421974,-6.356198788
-5.065918922,-0.843584001
7.48349905,5.779953003
1.828763008,3.298130035
-5.692933083,-7.110010147
-2.426961899,2.968005896
2.125101089,-1.531244993
-4.225370884,0.264279991
-6.302392006,-2.420387983
1.278676033,0.138795003
10.9089098,3.231657028
2.497848988,2.215805054
2.891526937,3.856813908
-3.773000002,-0.952203989
8.776288986,4.020036221
2.882560968,1.423599958
2.146913052,-0.037912998
-4.590105057,-1.176553011
-1.293254972,3.760277033
-4.244102001,0.434626013
6.647089005,1.90634501
1.635900974,0.301898986
7.85819006,-0.314132005
0.789545,3.034332037
-0.907724977,-1.497346044
-0.392246991,-0.894676983
-1.035895944,-0.532815993
2.556816101,3.863737106
3.131829977,2.1182549
-0.020947,-0.853552997
-5.312287807,1.770341039
-5.196177006,1.702551961
-0.753247023,3.465753078
-2.474344015,1.115252972
2.4764781,-2.057817936
-1.119104028,3.57089901
3.352076054,1.953480005
-1.910171986,2.458699942
0.142814994,2.992341042
10.50199032,-0.457967997
12.98501968,8.111278534
